ID,timestamp,run_id,query,query_rerun_id,numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,avg_active_tasks,elapsed_time_seconds
0,2026-05-15 16:37:55,0,q1,0,25,473,2947,2697,15317,7673,3693,2395,0,797,0,95,1022139,0,0,980193248,695069,7056446,0,0,100094,211,211,0,1571237,1571237,0,0,1571237,100094,5.2,2.95
1,2026-05-15 16:37:59,0,q2,0,20,390,1557,1345,7451,5256,1823,1523,4,668,0,41,680942,0,0,690730344,2273998,10763102,0,0,4561,112,112,0,105705,105705,0,0,53055,3511,4.79,1.56
2,2026-05-15 16:38:02,0,q3,0,13,273,1195,817,5816,3917,1261,1109,0,445,0,19,266526,0,0,384335752,2971468,19288776,0,0,197,105,105,0,21948,21948,0,0,21948,197,4.87,1.2
3,2026-05-15 16:38:04,0,q4,0,25,555,1886,5554,9901,6592,3791,2340,7,404,0,104,7499173,0,0,5381169320,10222681,162935418,0,0,153369,15,15,0,12744446,12744446,0,0,12744446,153369,5.25,1.89
4,2026-05-15 16:38:07,0,q5,0,33,831,2458,3018,13147,8695,3600,3168,0,454,0,82,1657981,0,0,1272670128,6295859,55484658,0,0,1731,217,217,0,127679,127679,0,0,127679,1731,5.35,2.46
5,2026-05-15 16:38:11,0,q5a,0,24,628,1035,1809,3468,2872,2717,2396,0,112,0,68,1657981,0,0,1261660080,6295835,55461755,0,0,3255,20,20,0,237079,237079,0,0,139181,2005,3.35,1.03
6,2026-05-15 16:38:13,0,q6,0,22,445,1280,1700,6388,3245,1846,1605,0,119,0,67,883229,0,0,530946032,3159466,11226146,0,0,2785568,57,57,0,24478257,24478257,0,0,24478257,2785568,4.99,1.28
7,2026-05-15 16:38:16,0,q7,0,15,310,709,745,4301,3151,1242,1170,0,135,0,12,265795,0,0,274988960,38316,693259,0,0,108,104,104,0,12526,12526,0,0,12526,108,6.07,0.71
8,2026-05-15 16:38:18,0,q8,0,16,326,655,947,2113,1181,1238,1219,2,160,0,15,494133,0,0,1390749344,3100422,15216122,0,0,3491,4,4,0,59073,59073,0,0,59073,3491,3.23,0.66
9,2026-05-15 16:38:19,0,q9,0,18,387,780,1687,4435,1986,1241,1214,0,306,0,10,270661,0,0,137494480,14402064,92518561,0,0,84,82,82,0,5778,5778,0,0,5778,84,5.69,0.78
10,2026-05-15 16:38:21,0,q10,0,19,405,1317,1586,2889,2057,1514,1400,12,100,0,49,28184438,0,0,676579040,7132143,16225051,0,0,287659,5,5,0,1909302,1909302,0,0,1909302,287659,2.19,1.32
11,2026-05-15 16:38:24,0,q10a,0,17,404,1130,1363,1944,1888,1676,1447,11,130,0,53,28184438,0,0,675006688,7132143,16225051,0,0,283274,5,5,0,1906126,1906126,0,0,1906126,283274,1.72,1.13
12,2026-05-15 16:38:26,0,q11,0,19,419,938,2012,4220,3116,1625,1520,0,135,0,52,7499173,0,0,3424523464,7339583,55328026,0,0,98990,11,11,0,8222867,8222867,0,0,8222867,98990,4.5,0.94
13,2026-05-15 16:38:28,0,q12,0,5,103,92,137,580,411,397,393,0,0,0,0,232049,0,0,0,20002,400413,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0.09
14,2026-05-15 16:38:29,0,q13,0,14,309,636,1187,4481,2259,1294,1185,57,256,0,9,265838,0,0,137494480,77223,1003351,0,0,54,52,52,0,5759,5759,0,0,5759,54,7.05,0.64
15,2026-05-15 16:38:31,0,q14a,0,46,1002,4028,4892,8987,7185,3900,3465,0,411,0,365,369441,0,0,2708324176,15256024,78647535,0,0,6319776,83,83,0,87464350,87464350,0,0,86336662,6292360,2.23,4.03
16,2026-05-15 16:38:37,0,q14b,0,40,954,2440,4689,8022,6363,3813,3377,0,503,0,178,380193,0,0,1252936104,13241190,63753500,0,0,6855449,57,57,0,96932172,96932172,0,0,50714546,4105138,3.29,2.44
17,2026-05-15 16:38:41,0,q14,0,40,954,2226,4456,7192,6169,3707,3401,0,438,0,182,380193,0,0,1260964264,13241190,63753500,0,0,6844878,57,57,0,96252553,96252553,0,0,50034927,4094567,3.23,2.23
18,2026-05-15 16:38:44,0,q15,0,9,221,618,747,1697,1246,967,811,0,176,0,6,1045273,0,0,308880720,1611552,6841119,0,0,202,1,1,0,11828,11828,0,0,11828,202,2.75,0.62
19,2026-05-15 16:38:46,0,q16,0,17,392,1300,1490,6009,3150,1391,1366,0,143,0,15,7193151,0,0,1376198864,3097185,22349005,0,0,291,54,54,0,19284,19284,0,0,19284,291,4.62,1.3
20,2026-05-15 16:38:48,0,q17,0,16,408,1091,2411,6144,3887,1469,1433,0,292,0,60,6124144,0,0,3885150096,4667485,25841513,0,0,1629074,35,35,0,31753837,31753837,0,0,31753837,1629074,5.63,1.09
21,2026-05-15 16:38:50,0,q18,0,10,305,290,1255,1590,534,1858,1216,0,175,0,0,233081,0,0,0,38006,647796,0,0,0,0,0,0,0,0,0,0,0,0,5.48,0.29
22,2026-05-15 16:38:52,0,q18a,0,18,461,357,2010,748,589,2551,1784,26,235,0,0,857079,0,0,0,338009,4264775,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.36
23,2026-05-15 16:38:53,0,q19,0,13,323,674,1321,2404,1470,1459,1351,0,116,0,6,1045273,0,0,275582184,3068422,23026943,0,0,160,1,1,0,17796,17796,0,0,17796,160,3.57,0.67
24,2026-05-15 16:38:55,0,q20,0,5,103,92,137,555,401,413,399,0,0,0,0,232049,0,0,0,20002,400413,0,0,0,0,0,0,0,0,0,0,0,0,6.03,0.09
25,2026-05-15 16:38:56,0,q21,0,15,317,1426,1096,6269,3729,1204,1157,0,112,0,31,265838,0,0,440734208,11783021,37006002,0,0,2903,105,105,0,109536,109536,0,0,109536,2903,4.4,1.43
26,2026-05-15 16:38:59,0,q22,0,9,213,7854,7886,8840,8112,796,780,0,73,0,12,804447,0,0,225717568,11783011,36954221,0,0,35968,1,1,0,1544161,1544161,0,0,1544161,35968,1.13,7.85
27,2026-05-15 16:39:08,0,q22a,0,14,222,1367,1533,1875,1686,894,810,0,65,0,49,804447,0,0,1043344704,11783009,36965943,0,0,72373,14,14,0,3722976,3722976,0,0,1718132,36377,1.37,1.37
