ID,timestamp,run_id,query,query_rerun_id,numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,avg_active_tasks,elapsed_time_seconds
0,2026-05-16 21:50:26,0,q1,0,27,521,3359,3335,21925,12451,4235,2750,4,0,0,1801,5101055,0,0,4491291904,6275422,67024817,0,0,1611474,399,399,0,25382999,25382999,0,0,25382999,1611474,6.53,3.36
1,2026-05-16 21:50:31,0,q2,0,20,398,1660,1450,10300,8359,1889,1674,12,180,0,97,755509,0,0,1536363144,21713603,93512992,0,0,6958,160,160,0,382370,382370,0,0,157218,4318,6.2,1.66
2,2026-05-16 21:50:34,0,q3,0,13,279,1177,837,7339,5830,1315,1177,0,192,0,116,265838,0,0,931823304,28975583,244299485,0,0,3115,122,122,0,228820,228820,0,0,228820,3115,6.24,1.18
3,2026-05-16 21:50:36,0,q4,0,28,573,7974,36685,118715,101677,2314,1938,3,2346,0,9899,1691203,0,0,39674206800,50941041,812341770,0,0,102286012,3503,3503,0,2536512620,2536512620,0,0,1273495988,51438627,14.89,7.97
4,2026-05-16 21:50:45,0,q5,0,34,898,3790,5149,34714,27035,3953,3640,3,576,0,593,317451,0,0,4448324280,62671120,552857544,0,0,7890511,349,349,0,109343469,109343469,0,0,109343469,7890511,9.16,3.79
5,2026-05-16 21:50:50,0,q5a,0,25,695,2299,4369,23615,19921,2885,2780,0,399,0,562,317451,0,0,3833334672,62671087,552806606,0,0,7892232,142,142,0,109464345,109464345,0,0,109331115,7890408,10.27,2.3
6,2026-05-16 21:50:54,0,q6,0,21,459,2222,3316,25222,21098,2046,1884,2,288,0,693,2121631,0,0,5236569736,29847572,158214915,0,0,27358756,258,258,0,240340053,240340053,0,0,240340053,27358756,11.35,2.22
7,2026-05-16 21:50:57,0,q7,0,18,392,1808,1704,12916,11031,1718,1608,0,230,0,134,788267,0,0,1824989464,30843845,430750295,0,0,71978,133,133,0,2566152,2566152,0,0,2566152,71978,7.14,1.81
8,2026-05-16 21:51:00,0,q8,0,16,337,1089,1368,6552,5711,1385,1411,0,0,0,37,2373025,0,0,1792304608,29820618,139184947,0,0,6731,13,13,0,84406,84406,0,0,84406,6731,6.02,1.09
9,2026-05-16 21:51:02,0,q9,0,18,407,1329,3800,13293,9457,1300,1430,0,336,0,29,269973,0,0,137494480,144002604,909538537,0,0,104,102,102,0,8037,8037,0,0,8037,104,10.0,1.33
10,2026-05-16 21:51:05,0,q10,0,18,437,1325,2548,10628,8701,1972,1649,0,156,0,731,29252425,0,0,3807972072,53091851,79308699,0,0,2400953,102,102,0,9684105,9684105,0,0,9684105,2400953,8.02,1.32
11,2026-05-16 21:51:07,0,q10a,0,15,436,1131,1729,7955,6990,1810,1663,15,98,0,670,29252511,0,0,4607448032,53091851,79308699,0,0,2368363,153,153,0,9644680,9644680,0,0,9644680,2368363,7.03,1.13
12,2026-05-16 21:51:09,0,q11,0,22,434,4269,13898,61883,53617,1585,1446,1,675,0,6307,1380159,0,0,26856842912,36540606,272799662,0,0,71770406,2006,2006,0,1051794768,1051794768,0,0,537186984,36215116,14.5,4.27
13,2026-05-16 21:51:15,0,q12,0,8,173,602,557,1995,1659,745,732,0,0,0,55,3286039,0,0,639059672,7322094,68674478,0,0,29116,10,10,0,3906850,3906850,0,0,3906850,29116,3.31,0.6
14,2026-05-16 21:51:16,0,q13,0,16,388,1820,2293,14655,11074,1677,1628,0,170,0,10,1311415,0,0,828703760,30998633,510446546,0,0,74,72,72,0,7121,7121,0,0,7121,74,8.05,1.82
15,2026-05-16 21:51:19,0,q14a,0,46,1080,6946,10334,61190,54286,4306,4142,0,1376,0,3204,1195253,0,0,9913299312,151671121,963981170,0,0,62586061,341,341,0,877746660,877746660,0,0,874734836,62499537,8.81,6.95
16,2026-05-16 21:51:28,0,q14b,0,40,1019,4953,9727,51660,47022,4360,4007,1,724,0,2185,1195253,0,0,8446696624,130216694,764383924,0,0,68363083,315,315,0,1013221153,1013221153,0,0,529304031,40855876,10.43,4.95
17,2026-05-16 21:51:35,0,q14,0,40,1016,5010,10582,53505,49450,4175,4092,3,621,0,2216,1169959,0,0,7563238792,130216694,764383924,0,0,68273661,280,280,0,1004568746,1004568746,0,0,520651624,40766454,10.68,5.01
18,2026-05-16 21:51:41,0,q15,0,9,231,962,1112,6409,5899,1033,946,0,195,0,9,5046346,0,0,951797424,15170438,57613891,0,0,502,1,1,0,18324,18324,0,0,18324,502,6.66,0.96
19,2026-05-16 21:51:43,0,q16,0,17,429,2890,5137,37250,30398,1634,1651,0,592,0,1660,265150,0,0,4841415936,30510799,220171971,0,0,30114626,579,579,0,422221788,422221788,0,0,422221788,30114626,12.89,2.89
20,2026-05-16 21:51:47,0,q17,0,17,446,4652,7161,59065,54371,1774,1744,0,524,0,3124,6980521,0,0,7880912176,46220694,350662285,0,0,45538041,803,803,0,1089146303,1089146303,0,0,1089146303,45538041,12.7,4.65
21,2026-05-16 21:51:53,0,q18,0,16,407,1686,2958,8246,5975,2192,1716,0,295,0,25,9766338,0,0,3074056776,19114059,307641016,0,0,55958,9,9,0,3984849,3984849,0,0,3984849,55958,4.89,1.69
22,2026-05-16 21:51:55,0,q18a,0,32,898,3342,9099,33023,29546,4627,3659,8,436,0,216,9765564,0,0,14494187648,77567803,1437120542,0,0,63894,37,37,0,4339335,4339335,0,0,4339335,63894,9.88,3.34
23,2026-05-16 21:52:00,0,q19,0,13,335,1069,1676,7048,6195,1341,1410,0,0,0,113,5046346,0,0,1599037304,29672618,279328244,0,0,7397,10,10,0,541770,541770,0,0,541770,7397,6.59,1.07
24,2026-05-16 21:52:02,0,q20,0,8,176,555,536,2367,2017,703,736,0,0,0,17,3286039,0,0,412686616,14522437,126467888,0,0,28486,2,2,0,3491832,3491832,0,0,3491832,28486,4.26,0.56
25,2026-05-16 21:52:04,0,q21,0,15,330,1671,1444,11672,9057,1491,1364,0,91,0,25,265150,0,0,1020537616,133232044,713979566,0,0,31967,113,113,0,694563,694563,0,0,694563,31967,6.99,1.67
26,2026-05-16 21:52:07,0,q22,0,10,243,60418,60484,125310,124255,1029,977,0,126,0,62,4653671,0,0,1753344224,133232025,713251755,0,0,612866,68,68,0,25729614,25729614,0,0,25729614,612866,2.07,60.42
27,2026-05-16 21:53:08,0,q22a,0,14,267,3437,4017,13925,12242,1018,1032,0,12,0,1374,4653671,0,0,5660862736,133232023,713263259,0,0,918610,160,160,0,45113549,45113549,0,0,14511781,306922,4.05,3.44
28,2026-05-16 21:53:13,0,q23a,0,28,694,6245,11372,76940,72526,2568,2514,0,1110,0,3759,6609758,0,0,12649074936,108664065,584237763,0,0,43897022,644,644,0,1114839874,1114839874,0,0,1084949107,41990015,12.32,6.24
29,2026-05-16 21:53:20,0,q23b,0,32,771,6750,12772,84197,79080,3063,2803,7,656,0,3912,6609801,0,0,25624416072,109164066,589048328,0,0,48673518,1314,1314,0,1200078986,1200078986,0,0,1097319241,42452497,12.47,6.75
30,2026-05-16 21:53:28,0,q24,0,14,366,2363,3821,27617,23883,1463,1422,9,176,0,1535,20739740,0,0,7068696000,32530259,315396198,0,0,29735885,340,340,0,678254112,678254112,0,0,678254112,29735885,11.69,2.36
31,2026-05-16 21:53:31,0,q24a,0,20,439,3870,5503,44217,40138,1859,1708,5,689,0,1753,18177875,0,0,16497845272,32632260,313348191,0,0,59478907,712,712,0,1357451922,1357451922,0,0,679197810,29743022,11.43,3.87
32,2026-05-16 21:53:36,0,q24b,0,20,439,3097,4452,33336,29655,1823,1718,9,834,0,1946,18177832,0,0,15891776752,32632260,313348191,0,0,59478765,700,700,0,1357428154,1357428154,0,0,679174042,29742880,10.76,3.1
33,2026-05-16 21:53:40,0,q25,0,17,446,4802,7843,63876,59602,1905,1751,0,492,0,2880,6980564,0,0,7880887560,46220694,491371045,0,0,45538038,800,800,0,1108759789,1108759789,0,0,1108759789,45538038,13.3,4.8
34,2026-05-16 21:53:46,0,q26,0,11,286,783,1102,4282,3495,1255,1213,18,96,0,31,788267,0,0,475734776,16443748,228736530,0,0,33482,3,3,0,1124909,1124909,0,0,1124909,33482,5.47,0.78
35,2026-05-16 21:53:48,0,q27,0,12,288,1115,1411,8348,7834,1195,1197,1,80,0,128,788267,0,0,1080698912,30843426,404289869,0,0,58884,22,22,0,2218125,2218125,0,0,2218125,58884,7.49,1.12
