ID,timestamp,run_id,query,query_rerun_id,numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,avg_active_tasks,elapsed_time_seconds
0,2026-05-09 07:06:08,0,q1,0,29,582,4264,5752,42393,34263,2169,1921,0,384,0,3163,892020,0,0,8846509440,59623753,619618396,0,0,18381521,761,761,0,276784049,276784049,0,0,276784049,18381521,9.94,4.26
1,2026-05-09 07:06:14,0,q2,0,31,897,4251,7059,48123,41814,3347,3081,5,736,0,542,1031898,0,0,5209757848,431970253,1952544259,0,0,7296,409,409,0,599615,599615,0,0,467050,5932,11.32,4.25
2,2026-05-09 07:06:19,0,q3,0,13,385,2505,2165,29254,16346,1213,1160,0,288,0,896,576120,0,0,3549854592,288283779,2642987642,0,0,8513,311,311,0,823818,823818,0,0,823818,8513,11.68,2.5
3,2026-05-09 07:06:23,0,q4,0,36,1266,40745,190757,636181,585296,4457,4293,1,8065,0,26420,866889,0,0,75001907648,937834952,16585247619,0,0,337138986,10701,10701,0,9304603414,9304603414,0,0,6776627099,255164421,15.61,40.74
4,2026-05-09 07:07:05,0,q5,0,34,1144,14794,21916,189284,169937,3652,3619,0,2130,0,4777,721486,0,0,10770640384,626319648,6023943983,0,0,78882271,1225,1225,0,1089016800,1089016800,0,0,1089016800,78882271,12.79,14.79
5,2026-05-09 07:07:21,0,q5a,0,25,937,13345,20364,177044,167728,3056,2938,0,1931,0,5432,721271,0,0,9417453536,626319554,6023856312,0,0,78882902,971,971,0,1089087093,1089087093,0,0,1088878335,78879468,13.27,13.34
6,2026-05-09 07:07:36,0,q6,0,24,634,3245,4612,33959,26387,2399,2199,0,562,0,2522,8479912,0,0,6105546240,291580529,2225667634,0,0,5131561,812,812,0,52172367,52172367,0,0,52172367,5131561,10.47,3.24
7,2026-05-09 07:07:40,0,q7,0,18,510,4584,4540,60793,46555,1633,1624,0,1152,0,1598,1573386,0,0,9378620592,290152234,4934004211,0,0,640765,1264,1264,0,21456165,21456165,0,0,21456165,640765,13.26,4.58
8,2026-05-09 07:07:46,0,q8,0,16,464,2111,2363,22090,20116,1550,1490,0,288,0,214,9492937,0,0,9951269824,292026825,1749863547,0,0,13996,53,53,0,146752,146752,0,0,146752,13996,10.46,2.11
9,2026-05-09 07:07:49,0,q9,0,18,917,5509,25347,79847,71499,1305,1706,0,1567,0,135,269974,0,0,137494480,1440032059,9154913771,0,0,614,612,612,0,51077,51077,0,0,51077,614,14.49,5.51
10,2026-05-09 07:07:56,0,q10,0,19,727,3076,5261,40495,34264,1776,1869,0,483,0,2196,29252425,0,0,10730526024,509819114,1714433235,0,0,19145607,1200,1200,0,44007686,44007686,0,0,44007686,19145607,13.16,3.08
11,2026-05-09 07:08:00,0,q10a,0,15,666,2493,4330,32728,28246,1754,1681,1,616,0,2816,29252855,0,0,9525389104,508819104,1706832726,0,0,20856568,1394,1394,0,73226650,73226650,0,0,73226650,20856568,13.13,2.49
12,2026-05-09 07:08:03,0,q11,0,28,872,17111,52912,262194,246479,2785,2806,0,4533,0,13345,589298,0,0,44791176400,650094422,6038530163,0,0,269945080,5864,5864,0,4755288331,4755288331,0,0,3217803414,191970515,15.32,17.11
13,2026-05-09 07:08:22,0,q12,0,9,222,1042,986,10653,9180,743,724,0,0,0,690,6554102,0,0,3529616104,72225619,675741727,0,0,178897,371,371,0,24193163,24193163,0,0,24193163,178897,10.22,1.04
14,2026-05-09 07:08:24,0,q13,0,16,498,4954,5530,68994,57578,1635,1578,0,1786,0,42,1760007,0,0,6621276224,290954831,6721291236,0,0,176,174,174,0,14109,14109,0,0,14109,176,13.93,4.95
15,2026-05-09 07:08:30,0,q14a,0,60,2349,37819,67430,540666,500891,6765,6993,3,6542,0,39175,2441791,0,0,39903328824,2016409136,15261096832,0,0,637287572,4451,4451,0,8684822045,8684822045,0,0,8676563617,637041169,14.3,37.82
16,2026-05-09 07:09:10,0,q14b,0,48,1830,21023,27774,287664,268476,6605,6189,37,3477,0,10113,2441791,0,0,27782638856,1584937571,11219585217,0,0,134485001,3970,3970,0,473373873,473373873,0,0,473373873,134485001,13.68,21.02
17,2026-05-09 07:09:32,0,q14,0,48,1825,19671,26071,269555,255874,5958,5988,10,4001,0,8075,2336869,0,0,26370502448,1584937571,11219585217,0,0,133956558,3020,3020,0,398913915,398913915,0,0,398913915,133956558,13.7,19.67
18,2026-05-09 07:09:53,0,q15,0,9,321,3669,3626,47033,43177,974,964,2,476,0,195,19124671,0,0,15843108112,146890277,717958363,0,0,8628,14,14,0,282828,282828,0,0,282828,8628,12.82,3.67
19,2026-05-09 07:09:58,0,q16,0,26,750,7951,12242,104452,89305,2737,2739,6,1444,0,4944,608101,0,0,16529629240,304426277,2664689762,0,0,158456612,2281,2281,0,1056809992,1056809992,0,0,1056809992,158456612,13.14,7.95
20,2026-05-09 07:10:07,0,q17,0,23,728,5790,10423,78361,68070,3031,2656,39,2032,0,4095,13952405,0,0,6358661496,460962685,4816178366,0,0,28190115,1718,1718,0,602741482,602741482,0,0,602741482,28190115,13.53,5.79
21,2026-05-09 07:10:14,0,q18,0,24,645,3235,6056,37504,32989,2272,2250,0,752,0,897,9765521,0,0,5720590336,151955909,3180343654,0,0,2641904,198,198,0,109627147,109627147,0,0,109627147,2641904,11.59,3.24
22,2026-05-09 07:10:18,0,q18a,0,36,950,3351,8305,38512,32941,3252,3218,3,960,0,3003,9765607,0,0,17463133640,155159940,3203365765,0,0,10884060,446,446,0,378494079,378494079,0,0,113260567,2779628,11.49,3.35
23,2026-05-09 07:10:23,0,q19,0,13,456,3089,3666,38174,34619,1553,1468,4,400,0,893,19124628,0,0,21077174560,291230816,3610831209,0,0,18964,41,41,0,1558160,1558160,0,0,1558160,18964,12.36,3.09
24,2026-05-09 07:10:27,0,q20,0,9,257,1147,1109,12436,11404,724,748,0,0,0,116,6554102,0,0,2574533648,144094267,1175977257,0,0,61986,31,31,0,7852052,7852052,0,0,7852052,61986,10.84,1.15
25,2026-05-09 07:10:29,0,q21,0,15,330,3426,3119,38861,23169,1186,1183,0,208,0,33,265150,0,0,1752179624,399554096,2137360624,0,0,96107,145,145,0,1977635,1977635,0,0,1977635,96107,11.34,3.43
26,2026-05-09 07:10:34,0,q22,0,10,241,177615,177652,576059,574120,859,836,0,388,0,195,9285378,0,0,2243896536,399554022,2136072300,0,0,2446322,119,119,0,105186629,105186629,0,0,105186629,2446322,3.24,177.62
27,2026-05-09 07:13:32,0,q22a,0,14,309,7561,8623,47677,42303,989,972,0,434,0,2897,9285378,0,0,11608727224,399554019,2136084247,0,0,3365205,593,593,0,170349954,170349954,0,0,45701734,918813,6.31,7.56
28,2026-05-09 07:13:41,0,q23a,0,30,1272,49908,79377,760725,734989,3846,3850,5,6864,0,24700,13214689,0,0,99898866576,1082175088,7472014458,0,0,350213903,20093,20093,0,8202907298,8202907298,0,0,7046444634,273363308,15.24,49.91
29,2026-05-09 07:14:32,0,q23b,0,34,1383,54658,91621,844569,816133,4148,4277,2,8448,0,26268,13214646,0,0,130522789768,1084175089,7496628953,0,0,498393956,35734,35734,0,10573036933,10573036933,0,0,7102641503,275441327,15.45,54.66
30,2026-05-09 07:15:28,0,q24,0,22,616,4635,9117,59744,50554,2404,2291,0,1072,0,4640,13037116,0,0,7561593120,320216831,4122080508,0,0,31568283,2293,2293,0,398203047,398203047,0,0,398203047,31568283,12.89,4.64
31,2026-05-09 07:15:34,0,q24a,0,31,889,10862,17422,137436,124659,3509,3194,0,2816,0,12130,7978974,0,0,21159717952,608427232,7989261310,0,0,100579193,5458,5458,0,1822874148,1822874148,0,0,1465850912,69847454,12.65,10.86
32,2026-05-09 07:15:46,0,q24b,0,32,888,9997,14158,127752,117340,3526,3273,1,4933,0,9812,7978974,0,0,18572878368,608427232,7989261310,0,0,99830491,3319,3319,0,1798382096,1798382096,0,0,1441358860,69098752,12.78,10.0
33,2026-05-09 07:15:57,0,q25,0,23,728,5004,9175,67944,59263,2579,2609,1,1152,0,2988,13952362,0,0,6009723240,460962685,6225462946,0,0,20197026,1646,1646,0,404855831,404855831,0,0,404855831,20197026,13.58,5.0
34,2026-05-09 07:16:03,0,q26,0,12,372,2184,2498,29098,24847,1307,1219,3,330,0,1376,1573386,0,0,5757167584,146016078,2354217132,0,0,346187,638,638,0,12051661,12051661,0,0,12051661,346187,13.32,2.18
35,2026-05-09 07:16:06,0,q27,0,12,396,3403,3689,47918,39523,1216,1267,0,794,0,1215,1573386,0,0,5950751896,290151615,4815425064,0,0,170937,252,252,0,6431202,6431202,0,0,6431202,170937,14.08,3.4
36,2026-05-09 07:16:10,0,q27a,0,20,847,8175,13975,122092,112796,2445,2522,0,2208,0,1871,1573386,0,0,8865437912,866368819,14426791543,0,0,172955,375,375,0,7044789,7044789,0,0,7044789,172955,14.93,8.18
37,2026-05-09 07:16:20,0,q28,0,24,1119,9718,25673,149603,132710,2102,2386,11,1714,0,18733,366829,0,0,49269685112,1728038400,14021639640,0,0,5366183,9882,9882,0,87262336,87262336,0,0,87262336,5366183,15.39,9.72
38,2026-05-09 07:16:31,0,q29,0,28,837,10766,16621,141782,135601,3041,3051,1,1360,0,6190,13952362,0,0,12510713656,461002687,4817126716,0,0,93232843,3168,3168,0,1622318786,1622318786,0,0,1622318786,93232843,13.17,10.77
39,2026-05-09 07:16:42,0,q30,0,19,436,2892,5053,15570,13596,1273,1321,1,0,0,1025,8012019,0,0,8055835608,18418802,299354685,0,0,6145592,176,176,0,280739697,280739697,0,0,280739697,6145592,5.38,2.89
40,2026-05-09 07:16:46,0,q31,0,28,1029,7221,15949,102584,90498,2693,2807,0,1167,0,5325,15423147,0,0,43821696792,1081084064,8120676605,0,0,471564,428,428,0,15150021,15150021,0,0,12698641,395149,14.21,7.22
41,2026-05-09 07:16:55,0,q32,0,17,503,1578,2643,18738,15776,1769,1839,0,96,0,106,634163,0,0,289143608,288188534,2321510682,0,0,1408,35,35,0,67154,67154,0,0,67154,1408,11.87,1.58
