ID,timestamp,run_id,query,query_rerun_id,numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,avg_active_tasks,elapsed_time_seconds
0,2026-05-15 06:30:23,0,q1,0,16,29,760,1201,1487,1013,127,85,1,120,0,116,1135429,0,0,563974160,695040,25797444,0,0,742655,8,8,0,12065390,12065390,0,0,12065390,742655,1.96,0.76
1,2026-05-15 06:30:25,0,q2,0,11,37,679,487,1823,914,95,61,10,187,0,21,677542,0,0,410700544,2273981,61435616,0,0,4453,8,8,0,91309,91309,0,0,38659,3403,2.68,0.68
2,2026-05-15 06:30:27,0,q3,0,7,26,590,551,1483,981,33,27,10,59,0,40,42840,0,0,782040824,2971453,46788692,0,0,438332,15,15,0,5334595,5334595,0,0,5334595,438332,2.51,0.59
3,2026-05-15 06:30:28,0,q4,0,16,103,1940,6480,9550,6154,321,186,56,580,0,84,7462742,0,0,5309833176,10222672,283280792,0,0,153369,15,15,0,12744446,12744446,0,0,12744446,153369,4.92,1.94
4,2026-05-15 06:30:32,0,q5,0,17,78,694,1194,2665,1655,167,88,0,156,0,81,7476411,0,0,823037240,6295824,159686544,0,0,37523,13,13,0,616687,616687,0,0,616687,37523,3.84,0.69
5,2026-05-15 06:30:34,0,q5a,0,13,76,744,1060,2406,1639,152,128,0,96,0,66,1649603,0,0,1248552160,6295824,159686544,0,0,3255,20,20,0,237079,237079,0,0,139181,2005,3.23,0.74
6,2026-05-15 06:30:36,0,q6,0,11,27,798,606,657,606,13,18,2,0,0,7,23756060,0,0,411784216,3159453,48157924,0,0,61,3,3,0,4072,4072,0,0,4072,61,0.82,0.8
7,2026-05-15 06:30:38,0,q7,0,6,9,63,76,43,40,5,5,0,0,0,0,140013,0,0,0,38000,10423376,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0.06
8,2026-05-15 06:30:39,0,q8,0,10,26,454,401,685,521,50,49,0,0,0,14,491560,0,0,1390749344,3100416,48419612,0,0,3491,4,4,0,59073,59073,0,0,59073,3491,1.51,0.45
9,2026-05-15 06:30:40,0,q9,0,12,87,316,1251,1988,1454,29,53,0,112,0,70,33597,0,0,0,14402055,211737580,0,0,80,80,80,0,4687,4687,0,0,4687,80,6.29,0.32
10,2026-05-15 06:30:42,0,q10,0,12,56,1148,928,1292,1103,14,32,2,6,0,53,28051039,0,0,675529504,7132136,98552244,0,0,287659,5,5,0,1909302,1909302,0,0,1909302,287659,1.13,1.15
11,2026-05-15 06:30:44,0,q10a,0,10,55,1050,819,1110,1061,22,34,2,0,0,54,28050996,0,0,673957136,7132136,98552244,0,0,283274,5,5,0,1906126,1906126,0,0,1906126,283274,1.06,1.05
12,2026-05-15 06:30:46,0,q11,0,12,67,756,1672,2692,2099,75,83,0,0,0,55,7462613,0,0,3353187320,7339576,144253464,0,0,98990,11,11,0,8222867,8222867,0,0,8222867,98990,3.56,0.76
13,2026-05-15 06:30:48,0,q12,0,3,3,14,21,13,13,0,0,0,0,0,0,1739,0,0,0,20000,3068308,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.01
14,2026-05-15 06:30:49,0,q13,0,6,9,36,65,63,52,2,3,0,0,0,0,89794,0,0,0,70012,11851132,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0.04
15,2026-05-15 06:30:50,0,q14a,0,30,199,3433,4227,6971,4893,263,265,6,686,0,411,368321,0,0,2705016912,15256008,297282240,0,0,6319775,82,82,0,87464283,87464283,0,0,86336595,6292359,2.03,3.43
16,2026-05-15 06:30:56,0,q14b,0,24,152,1897,2979,4705,3740,167,181,0,192,0,214,379073,0,0,1249628840,13241174,241916880,0,0,6855448,56,56,0,96932105,96932105,0,0,50714479,4105137,2.48,1.9
17,2026-05-15 06:30:59,0,q14,0,24,152,1532,2558,3612,3269,359,185,0,29,0,184,379073,0,0,1257657000,13241174,241916880,0,0,6844877,56,56,0,96252486,96252486,0,0,50034860,4094566,2.36,1.53
18,2026-05-15 06:31:01,0,q15,0,5,21,520,492,943,568,41,31,0,112,0,6,1039839,0,0,308880720,1611548,41108028,0,0,202,1,1,0,11828,11828,0,0,11828,202,1.81,0.52
19,2026-05-15 06:31:03,0,q16,0,10,42,617,540,808,652,33,24,0,50,0,10,7155910,0,0,1352342992,3097169,82232552,0,0,1076,4,4,0,25285,25285,0,0,25285,1076,1.31,0.62
20,2026-05-15 06:31:05,0,q17,0,8,41,1018,788,1343,1003,40,41,1,0,0,1,18931081,0,0,4771572712,4667478,90441604,0,0,1,1,1,0,163,163,0,0,163,1,1.32,1.02
21,2026-05-15 06:31:07,0,q18,0,4,7,19,33,46,40,0,2,0,0,0,0,140013,0,0,0,38000,10423376,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0.02
22,2026-05-15 06:31:08,0,q18a,0,10,14,48,197,185,170,3,3,0,0,0,0,852560,0,0,0,356000,22084248,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0.05
23,2026-05-15 06:31:09,0,q19,0,7,23,504,504,802,610,28,28,0,0,0,6,1039839,0,0,275582184,3068416,55162320,0,0,160,1,1,0,17796,17796,0,0,17796,160,1.59,0.5
24,2026-05-15 06:31:11,0,q20,0,3,3,11,18,13,13,0,0,0,0,0,0,1739,0,0,0,20000,3068308,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0.01
25,2026-05-15 06:31:12,0,q21,0,8,27,1978,1975,4091,3750,18,19,0,80,0,195,47040,0,0,1824655344,11783005,57492140,0,0,11747800,15,15,0,117909708,117909708,0,0,117909708,11747800,2.07,1.98
26,2026-05-15 06:31:15,0,q22,0,5,20,7604,7584,7895,7688,25,25,0,9,0,12,800361,0,0,294641360,11783005,57268900,0,0,35968,1,1,0,1544161,1544161,0,0,1544161,35968,1.04,7.6
27,2026-05-15 06:31:23,0,q22a,0,10,29,1332,1417,1690,1434,48,42,0,26,0,62,800447,0,0,1119608752,11783005,57475756,0,0,72373,14,14,0,3722976,3722976,0,0,1718132,36377,1.27,1.33
28,2026-05-15 06:31:26,0,q23a,0,16,118,2235,4253,10338,7548,164,150,0,300,0,224,1164008,0,0,4199777904,10980144,187005816,0,0,3812080,114,114,0,98368916,98368916,0,0,98366379,3812037,4.63,2.24
29,2026-05-15 06:31:29,0,q23b,0,20,140,2240,4408,8760,7345,520,209,1,72,0,230,1164008,0,0,6766694776,11080144,191402640,0,0,3908567,130,130,0,100971109,100971109,0,0,100968572,3908524,3.91,2.24
30,2026-05-15 06:31:33,0,q24,0,3,3,16,20,12,12,0,0,0,0,0,0,1689,0,0,0,12,1993072,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.02
31,2026-05-15 06:31:34,0,q24a,0,3,3,12,12,7,7,0,0,0,0,0,0,1689,0,0,0,12,1993072,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.01
32,2026-05-15 06:31:35,0,q24b,0,3,3,11,13,8,8,0,0,0,0,0,0,1689,0,0,0,12,1993072,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.01
33,2026-05-15 06:31:36,0,q25,0,8,41,1051,811,1218,993,34,40,1,0,0,1,19636561,0,0,4771549544,4667478,100620164,0,0,1,1,1,0,314,314,0,0,314,1,1.16,1.05
34,2026-05-15 06:31:38,0,q26,0,5,8,15,40,49,45,0,2,0,0,0,0,140013,0,0,0,38300,11450668,0,0,0,0,0,0,0,0,0,0,0,0,3.27,0.02
35,2026-05-15 06:31:39,0,q27,0,3,6,12,17,23,23,0,2,0,0,0,0,6084,0,0,0,12,8125148,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0.01
36,2026-05-15 06:31:40,0,q27a,0,7,10,48,60,59,60,0,2,0,0,0,0,140013,0,0,0,56024,13585288,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0.05
