ID,timestamp,run_id,query,query_rerun_id,numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,avg_active_tasks,elapsed_time_seconds
0,2026-05-07 17:11:05,0,q1,0,20,162,4820,10308,67584,55863,644,300,7,2088,0,6117,887872,0,0,6608330616,59623624,615614148,0,0,72711930,579,579,0,1311507346,1311507346,0,0,1311507346,72711930,14.02,4.82
1,2026-05-07 17:11:11,0,q2,0,11,130,3515,3322,47276,43635,190,203,0,384,0,1087,751663,0,0,879498664,216108786,928217116,0,0,35347,362,362,0,2673870,2673870,0,0,901000,13701,13.45,3.52
2,2026-05-07 17:11:16,0,q3,0,8,130,3314,5833,48297,40293,73,113,0,592,0,3407,235135,0,0,226246632,288283437,2060343332,0,0,44137032,118,118,0,605614831,605614831,0,0,605614831,44137032,14.57,3.31
3,2026-05-07 17:11:20,0,q4,0,25,712,49375,243562,780450,711262,1892,1828,10,13237,0,42901,763869,0,0,115346137600,794088513,10088508536,0,0,566100624,25854,25854,0,14421654048,14421654048,0,0,8530726381,341212705,15.81,49.38
4,2026-05-07 17:12:11,0,q5,0,17,360,16132,25592,224980,191145,410,529,0,3360,0,15992,681739,0,0,9651191200,626443386,4940579852,0,0,79732913,1439,1439,0,1116338245,1116338245,0,0,1116338245,79732913,13.95,16.13
5,2026-05-07 17:12:28,0,q5a,0,14,354,14936,27734,205723,190855,498,593,0,2528,0,9084,639641,0,0,9342790232,626443386,4940579852,0,0,78891787,1141,1141,0,1105632775,1105632775,0,0,1105424023,78888353,13.77,14.94
6,2026-05-07 17:12:44,0,q6,0,14,162,2961,6822,41548,35566,1501,1214,13,2507,0,2525,19031764,0,0,4846046928,291580486,1456358224,0,0,5131498,1890,1890,0,47162810,47162810,0,0,47162810,5131498,14.03,2.96
7,2026-05-07 17:12:48,0,q7,0,14,168,7962,14409,117512,85812,492,472,0,5264,0,17806,1563358,0,0,3260724848,290172188,3668858288,0,0,54037136,512,512,0,1578068893,1578068893,0,0,1578068893,54037136,14.76,7.96
8,2026-05-07 17:12:57,0,q8,0,10,145,2290,2239,30033,28270,211,256,0,272,0,575,9445234,0,0,9229362504,292026790,1406785544,0,0,50784,121,121,0,762861,762861,0,0,762861,50784,13.11,2.29
9,2026-05-07 17:13:01,0,q9,0,12,527,7814,38273,121890,111216,199,421,0,3008,0,91,219219,0,0,0,1440031995,8289844592,0,0,520,520,520,0,42373,42373,0,0,42373,520,15.6,7.81
