ID,timestamp,run_id,query,query_rerun_id,numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,avg_active_tasks,elapsed_time_seconds
0,2026-05-06 13:18:55,0,q1,0,20,162,4723,10346,66048,52866,687,332,2,2016,0,6829,887797,0,0,6608330616,59623624,620395736,0,0,72711982,579,579,0,1311521133,1311521133,0,0,1311521133,72711982,13.98,4.72
1,2026-05-06 13:19:01,0,q2,0,11,130,3382,3209,45413,41372,162,207,0,737,0,1105,751663,0,0,879498664,216108786,956750916,0,0,35347,362,362,0,2673870,2673870,0,0,901000,13701,13.43,3.38
2,2026-05-06 13:19:06,0,q3,0,8,132,3481,5964,50821,43106,72,112,0,448,0,3837,239527,0,0,228868072,288283437,2155800120,0,0,44137033,124,124,0,606048454,606048454,0,0,606048454,44137033,14.6,3.48
3,2026-05-06 13:19:10,0,q4,0,25,716,48819,238846,770738,715223,2188,2004,0,11695,2,39895,763912,0,0,115346137600,794088513,10316106864,0,0,566100624,26100,26100,0,14421793143,14421793143,0,0,8530865476,341212705,15.79,48.82
4,2026-05-06 13:20:00,0,q5,0,17,362,16239,25590,224890,191495,413,546,0,3616,0,11370,682169,0,0,9655916464,626443386,5091553520,0,0,79734386,1447,1447,0,1116440387,1116440387,0,0,1116440387,79734386,13.85,16.24
5,2026-05-06 13:20:18,0,q5a,0,14,356,15049,26988,206875,192439,513,594,0,3108,0,8612,650970,0,0,9347515496,626443386,5091553520,0,0,78892878,1148,1148,0,1105711129,1105711129,0,0,1105502377,78889444,13.75,15.05
6,2026-05-06 13:20:34,0,q6,0,14,164,2658,6129,36226,31730,1625,1329,3,1029,0,3139,19031506,0,0,4846046928,291580486,1547699176,0,0,5131498,1989,1989,0,47215325,47215325,0,0,47215325,5131498,13.63,2.66
7,2026-05-06 13:20:38,0,q7,0,14,170,9245,17264,140153,82000,461,408,1,6611,0,33579,1563358,0,0,3327833688,290172188,3795962904,0,0,54039664,534,534,0,1578304559,1578304559,0,0,1578304559,54039664,15.16,9.24
8,2026-05-06 13:20:48,0,q8,0,10,147,2634,2562,36089,29349,210,251,0,667,0,4542,9445062,0,0,9368308712,292026790,1497306856,0,0,50841,127,127,0,767158,767158,0,0,767158,50841,13.7,2.63
9,2026-05-06 13:20:52,0,q9,0,12,537,8399,41250,131145,107807,91,392,1,3184,0,1768,226004,0,0,0,1440031995,8816585000,0,0,530,530,530,0,43705,43705,0,0,43705,530,15.61,8.4
10,2026-05-06 13:21:01,0,q10,0,13,301,3100,6855,43470,35051,247,269,16,2558,0,4417,256640,0,0,5638408552,509942925,1222508240,0,0,21068747,2605,2605,0,77610092,77610092,0,0,77610092,21068747,14.02,3.1
11,2026-05-06 13:21:05,0,q10a,0,10,291,2676,4657,37791,29451,91,224,1,1440,0,8500,306432,0,0,4673329344,508942925,1198260616,0,0,22779154,2757,2757,0,107522737,107522737,0,0,107522737,22779154,14.12,2.68
12,2026-05-06 13:21:09,0,q11,0,20,433,17687,55035,274918,255945,1143,1055,2,6800,0,15357,588013,0,0,44791176400,650094389,4275582336,0,0,269945080,8377,8377,0,4443549057,4443549057,0,0,2965217493,191970515,15.54,17.69
13,2026-05-06 13:21:28,0,q12,0,6,65,1074,995,11995,10184,90,95,0,144,0,1625,6520039,0,0,4753471800,72225613,553602236,0,0,218539,691,691,0,30887286,30887286,0,0,30887286,218539,11.17,1.07
14,2026-05-06 13:21:30,0,q13,0,9,132,5410,5470,79599,75066,58,121,0,1280,0,138,1749701,0,0,5633449712,290954790,4616088352,0,0,1546,107,107,0,33206,33206,0,0,33206,1546,14.71,5.41
15,2026-05-06 13:21:37,0,q14a,0,40,1235,78510,235282,1203093,506133,2242,2508,1,10644,0,687910,2429660,0,0,48955398264,2016904500,12578607776,0,0,639572332,5876,5876,0,9127772215,9127772215,0,0,9112380163,639087432,15.32,78.51
16,2026-05-06 13:22:57,0,q14b,0,30,784,22843,37996,326888,295178,1552,1708,1,5487,0,14971,2429660,0,0,29439522752,1585185222,9267485708,0,0,135661847,4102,4102,0,525712676,525712676,0,0,525712676,135661847,14.31,22.84
17,2026-05-06 13:23:21,0,q14,0,29,779,19633,32509,286333,271361,1628,1742,2,5267,0,11832,2323166,0,0,29140252776,1585185222,9267485708,0,0,134766681,3973,3973,0,433447134,433447134,0,0,433447134,134766681,14.58,19.63
18,2026-05-06 13:23:42,0,q15,0,5,107,3048,2870,41382,39120,98,136,1,368,0,42,19031592,0,0,13031031584,147014124,773045180,0,0,2305,3,3,0,69877,69877,0,0,69877,2305,13.58,3.05
19,2026-05-06 13:23:46,0,q16,0,11,296,14612,42480,224496,195364,207,353,0,3048,0,26916,1099400,0,0,41901725888,303406100,2023166764,0,0,301219950,18103,18103,0,4310295986,4310295986,0,0,4310295986,301219950,15.36,14.61
20,2026-05-06 13:24:02,0,q17,0,14,250,5970,10399,87886,72752,598,666,2,2269,0,9442,13882585,0,0,6358661496,461086525,3145059836,0,0,28190115,2534,2534,0,601450057,601450057,0,0,601450057,28190115,14.72,5.97
21,2026-05-06 13:24:09,0,q18,0,9,148,3464,4122,48247,43487,239,254,0,752,0,366,17522991,0,0,20407531752,151059724,2488950028,0,0,547671,289,289,0,38073944,38073944,0,0,38073944,547671,13.93,3.46
22,2026-05-06 13:24:14,0,q18a,0,17,503,11545,33948,175850,162845,752,879,0,2885,0,1678,17760535,0,0,93113179144,730240220,11975173812,0,0,648686,387,387,0,41635018,41635018,0,0,41635018,648686,15.23,11.54
23,2026-05-06 13:24:26,0,q19,0,8,144,4612,4535,65072,41898,175,214,0,454,0,18930,19031420,0,0,24194574632,291230790,2464051120,0,0,105187,642,642,0,7114343,7114343,0,0,7114343,105187,14.11,4.61
24,2026-05-06 13:24:32,0,q20,0,6,92,1340,1278,16064,15327,94,119,0,0,0,31,6520039,0,0,2049998040,144218124,1055777876,0,0,61386,15,15,0,7314659,7314659,0,0,7314659,61386,11.99,1.34
25,2026-05-06 13:24:34,0,q21,0,9,118,12544,16165,174605,165082,147,184,0,1040,0,8477,698634,0,0,45859432488,399554015,1169551752,0,0,399522285,618,618,0,3936731519,3936731519,0,0,3936726703,399522225,13.92,12.54
26,2026-05-06 13:24:48,0,q22,0,6,55,116374,116291,597636,594770,100,91,0,1060,0,226,9238108,0,0,2875021648,399554015,1160448372,0,0,2853759,136,136,0,122783979,122783979,0,0,122783979,2853759,5.14,116.37
27,2026-05-06 13:26:45,0,q22a,0,10,123,5630,6450,49354,45387,175,213,0,346,0,2668,9238108,0,0,12240902592,399554015,1160917384,0,0,3874870,672,672,0,196247756,196247756,0,0,50884816,1020746,8.77,5.63
