ID,timestamp,run_id,query,query_rerun_id,numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,avg_active_tasks,elapsed_time_seconds
0,2026-05-15 23:12:00,0,q1,0,8,8,739,1125,1017,668,50,31,0,6,0,36,1018041,0,0,422333440,748089,4842446,0,0,99878,3,3,0,1544051,1544051,0,0,1544051,99878,1.38,0.74
1,2026-05-15 23:12:02,0,q2,0,9,10,542,381,466,447,15,15,1,2,0,24,680200,0,0,284679544,2380079,7614862,0,0,4453,8,8,0,91309,91309,0,0,38659,3403,0.86,0.54
2,2026-05-15 23:12:04,0,q3,0,4,4,250,217,197,180,4,4,0,4,0,5,35702,0,0,69994472,2971453,15371138,0,0,89,1,1,0,8279,8279,0,0,8279,89,0.79,0.25
3,2026-05-15 23:12:05,0,q4,0,19,123,2740,9293,34569,17546,348,240,9,1470,1,8175,609527,0,0,23149964296,5287434,62185976,0,0,10424391,445,445,0,277816112,277816112,0,0,131839186,5088880,12.62,2.74
4,2026-05-15 23:12:10,0,q5,0,10,15,569,1016,1293,1214,43,38,0,0,0,45,1650783,0,0,494330152,6348873,41651027,0,0,1515,9,9,0,100764,100764,0,0,100764,1515,2.27,0.57
5,2026-05-15 23:12:11,0,q5a,0,13,20,678,951,1229,1171,32,35,0,0,0,58,1650783,0,0,1033298024,6348873,41651027,0,0,3255,20,20,0,237079,237079,0,0,139181,2005,1.81,0.68
6,2026-05-15 23:12:14,0,q6,0,12,28,613,786,2848,2590,68,39,0,9,0,119,1041019,0,0,1474212376,3212502,9340384,0,0,2786107,37,37,0,24510239,24510239,0,0,24510239,2786107,4.65,0.61
7,2026-05-15 23:12:15,0,q7,0,5,5,22,51,34,30,0,0,0,0,0,0,142714,0,0,0,91349,597932,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0.02
8,2026-05-15 23:12:16,0,q8,0,10,10,337,290,254,249,8,8,0,0,0,14,275062,0,0,341745984,3153465,11294186,0,0,3491,4,4,0,59038,59038,0,0,59038,3491,0.75,0.34
9,2026-05-15 23:12:18,0,q9,0,31,31,344,3299,3075,2162,30,10,0,99,0,0,4868,0,0,0,43206095,97312801,0,0,15,15,15,0,946,946,0,0,946,15,8.94,0.34
