ID,timestamp,run_id,query,query_rerun_id,numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,avg_active_tasks,elapsed_time_seconds
0,2026-05-14 22:00:01,0,q1,0,12,270,3261,5418,41895,30156,386,332,0,608,0,4653,887896,0,0,7524205656,57661051,480261890,0,0,18398620,761,761,0,277624311,277624311,0,0,277624311,18398620,12.85,3.26
1,2026-05-14 22:00:06,0,q2,0,9,408,3112,2980,42073,35987,464,533,0,840,0,1206,4300047,0,0,2290933864,216214884,690678352,0,0,5461,1202,1202,0,256158,256158,0,0,95096,3739,13.52,3.11
2,2026-05-14 22:00:10,0,q3,0,4,195,1231,1207,17241,11003,178,222,0,0,0,296,2095082,0,0,573833192,275322401,1602847644,0,0,4668,35,35,0,375703,375703,0,0,375703,4668,14.01,1.23
3,2026-05-14 22:00:12,0,q4,0,25,1158,48262,240668,759228,704362,2911,2942,12,9664,0,44235,1071331,0,0,115346137600,768378637,8865842900,0,0,566100624,49098,49098,0,14417476796,14417476796,0,0,8524186466,341212705,15.73,48.26
4,2026-05-14 22:01:02,0,q5,0,11,1031,14155,27208,193959,171084,1023,1405,0,5022,0,11292,4271420,0,0,10059259664,612203099,4062623097,0,0,78866104,4783,4783,0,1124468347,1124468347,0,0,1124468347,78866104,13.7,14.16
5,2026-05-14 22:01:17,0,q5a,0,14,1036,14169,29419,188187,169730,987,1424,2,4771,0,12176,4271248,0,0,10531118696,612203099,4062623097,0,0,78869207,4793,4793,0,1124705271,1124705271,0,0,1124495923,78865773,13.28,14.17
6,2026-05-14 22:01:33,0,q6,0,12,264,10111,23821,150836,132310,208,300,3,4711,8,10947,1319920,0,0,29655044296,278599450,989726668,0,0,273569765,8538,8538,0,2372331831,2372331831,0,0,2372331831,273569765,14.92,10.11
7,2026-05-14 22:01:44,0,q7,0,13,241,7372,13337,97821,81295,1829,1335,6,5692,0,4697,1561496,0,0,1786165376,277318250,3087736803,0,0,53574516,128,128,0,1553559506,1553559506,0,0,1553559506,53574516,13.27,7.37
8,2026-05-14 22:01:53,0,q8,0,12,243,1985,3345,20124,18830,71,182,0,0,0,692,935625,0,0,4893038568,279118803,952483822,0,0,9745659,138,138,0,80438215,80438215,0,0,80438215,9745659,10.14,1.98
9,2026-05-14 22:01:56,0,q9,0,31,2926,17037,254476,259912,237149,3665,4559,2,8949,0,1033,939060,0,0,0,4320095875,9663735827,0,0,2910,2910,2910,0,183209,183209,0,0,183209,2910,15.26,17.04
10,2026-05-14 22:02:14,0,q10,0,11,638,2513,5659,35331,32184,64,382,0,0,0,1320,963447,0,0,6340650376,496034938,476676288,0,0,22980851,557,557,0,106690433,106690433,0,0,106690433,22980851,14.06,2.51
11,2026-05-14 22:02:18,0,q10a,0,10,638,1789,3330,24006,22048,65,405,0,1095,0,1208,2931737,0,0,5064346656,496034938,476676288,0,0,22779154,557,557,0,106443359,106443359,0,0,106443359,22779154,13.42,1.79
12,2026-05-14 22:02:21,0,q11,0,15,625,25160,82744,396660,367375,560,769,3,5886,0,26288,970092,0,0,96265954592,349193063,1929032374,0,0,699960358,31453,31453,0,9167790606,9167790606,0,0,4735182399,353418106,15.77,25.16
13,2026-05-14 22:02:47,0,q12,0,7,227,4215,7446,55335,50416,86,185,0,774,0,7454,970350,0,0,10562963440,72278662,449140142,0,0,72106021,3500,3500,0,981589501,981589501,0,0,981589501,72106021,13.13,4.22
14,2026-05-14 22:02:52,0,q13,0,14,223,3720,10639,53862,41485,1323,1045,8,3996,0,1175,1914208,0,0,983353464,278127052,3834330819,0,0,740936,62,62,0,19643600,19643600,0,0,19643600,740936,14.48,3.72
15,2026-05-14 22:02:57,0,q14a,0,30,2003,33016,99192,473178,436368,2272,3086,2,11207,0,44833,5918971,0,0,37782403928,1474158414,6240532250,0,0,621254332,7328,7328,0,8276396016,8276396016,0,0,8271922748,621118360,14.33,33.02
16,2026-05-14 22:03:33,0,q14b,0,24,1640,28003,74844,413161,368019,2096,2678,0,5737,0,28352,5919444,0,0,37317794400,1258308775,4868652450,0,0,680705664,7089,7089,0,9508872889,9508872889,0,0,4964402930,405660312,14.75,28.0
17,2026-05-14 22:04:03,0,q14,0,24,1633,25119,74594,371300,343611,2208,2774,1,6712,0,27283,5920648,0,0,35234045304,1258308775,4868652450,0,0,679955534,6178,6178,0,9423595392,9423595392,0,0,4879125433,404910182,14.78,25.12
18,2026-05-14 22:04:29,0,q15,0,7,253,14254,23021,193783,157424,106,209,1,2404,0,13192,971683,0,0,27139515144,147067173,476847386,0,0,288833756,5255,5255,0,2530366105,2530366105,0,0,2530366105,288833756,13.59,14.25
19,2026-05-14 22:04:44,0,q16,0,8,571,13896,39244,214282,187268,334,594,0,3019,0,20043,2495009,0,0,41785807200,303459149,1612590351,0,0,301125284,46600,46600,0,4328424565,4328424565,0,0,4328424565,301125284,15.42,13.9
20,2026-05-14 22:04:59,0,q17,0,10,744,100542,449967,1579461,436131,289,663,12,3008,0,1155501,13880723,0,0,67548164624,447183776,2398485871,0,0,455396321,77827,77827,0,10984028389,10984028389,0,0,10984028389,455396321,15.71,100.54
21,2026-05-14 22:06:41,0,q18,0,13,336,10536,51443,159677,131051,285,370,0,3518,0,31664,9713803,0,0,10620901464,151112773,2133102316,0,0,159482755,2073,2073,0,4712764590,4712764590,0,0,4712764590,159482755,15.16,10.54
22,2026-05-14 22:06:53,0,q18a,0,23,417,43818,415832,683451,135071,309,498,0,3712,0,555572,9713760,0,0,33446629456,154316773,2151049380,0,0,204535227,6993,6993,0,6033274161,6033274161,0,0,4721366045,160018999,15.6,43.82
23,2026-05-14 22:07:38,0,q19,0,11,255,3271,5608,37491,22311,68,180,0,330,0,2828,925647,0,0,5936739640,278322803,1859537046,0,0,11817289,463,463,0,218262826,218262826,0,0,218262826,11817289,11.46,3.27
24,2026-05-14 22:07:42,0,q20,0,7,240,6420,11883,92502,86310,96,215,0,1648,0,8651,970092,0,0,17559457360,144271173,858085790,0,0,143395506,5992,5992,0,1678203533,1678203533,0,0,1678203533,143395506,14.41,6.42
25,2026-05-14 22:07:50,0,q21,0,6,142,2677,2648,38600,26720,220,217,0,1696,0,135,1797905,0,0,1328625152,399607064,1597768252,0,0,480475,42,42,0,7954851,7954851,0,0,7954851,480475,14.42,2.68
26,2026-05-14 22:07:53,0,q22,0,7,168,71377,71503,871912,860048,109,152,0,3176,0,2676,634756,0,0,10583396856,399607064,1597820511,0,0,80173222,764,764,0,850807410,850807410,0,0,850807410,80173222,12.22,71.38
27,2026-05-14 22:09:06,0,q22a,0,11,193,6691,7393,86248,76322,132,198,0,1152,0,4056,634842,0,0,14843236336,399607064,1597826037,0,0,80581076,1058,1058,0,1061770691,1061770691,0,0,1034862675,80173152,12.89,6.69
28,2026-05-14 22:09:14,0,q23a,0,17,1214,67122,125069,1036109,815292,1478,1903,2,10060,0,227850,13146599,0,0,152309323728,1056515976,4416186132,0,0,561875004,46218,46218,0,12286417743,12286417743,0,0,11863185140,530952975,15.44,67.12
