ID,timestamp,run_id,query,query_rerun_id,numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,avg_active_tasks,elapsed_time_seconds
0,2026-05-16 03:05:17,0,q1,0,10,63,1759,2954,17511,7363,587,287,12,1222,1,1650,5101356,0,0,3337334424,6275366,62359251,0,0,1611249,182,182,0,25347728,25347728,0,0,25347728,1611249,9.96,1.76
1,2026-05-16 03:05:20,0,q2,0,9,44,902,723,6156,4601,89,82,0,76,0,101,755509,0,0,456068104,21713562,91959318,0,0,6838,44,44,0,352525,352525,0,0,127373,4198,6.82,0.9
2,2026-05-16 03:05:22,0,q3,0,4,25,427,402,3347,2185,54,33,0,0,0,137,92740,0,0,119963624,28975550,241345772,0,0,2998,10,10,0,206438,206438,0,0,206438,2998,7.84,0.43
3,2026-05-16 03:05:24,0,q4,0,22,273,8295,39540,126586,98731,568,491,3,3081,0,11750,1691203,0,0,39674206800,50941014,803428379,0,0,102286012,3503,3503,0,2536512620,2536512620,0,0,1273495988,51438627,15.26,8.3
4,2026-05-16 03:05:33,0,q5,0,11,140,1902,3713,25028,20091,205,191,0,326,0,634,317451,0,0,3294366800,62671034,542512715,0,0,7890286,132,132,0,109305912,109305912,0,0,109305912,7890286,13.16,1.9
5,2026-05-16 03:05:36,0,q5a,0,14,145,1873,3606,22236,18263,179,201,11,452,0,617,317666,0,0,3833334672,62671034,542512715,0,0,7892232,142,142,0,109464345,109464345,0,0,109331115,7890408,11.87,1.87
6,2026-05-16 03:05:39,0,q6,0,11,57,1647,2221,20067,17181,68,66,0,224,0,595,2121717,0,0,5099075256,29847550,155680013,0,0,27358702,206,206,0,240333811,240333811,0,0,240333811,27358702,12.18,1.65
7,2026-05-16 03:05:42,0,q7,0,7,38,1186,1195,9902,7964,51,48,0,186,0,119,788267,0,0,1080238624,30843801,424696518,0,0,71861,22,22,0,2549492,2549492,0,0,2549492,71861,8.35,1.19
8,2026-05-16 03:05:44,0,q8,0,10,37,883,749,4618,4283,89,76,0,0,0,40,2373025,0,0,1792304608,29820603,136985929,0,0,6731,13,13,0,84406,84406,0,0,84406,6731,5.23,0.88
9,2026-05-16 03:05:46,0,q9,0,11,106,816,3219,11118,8370,53,71,0,336,0,13,43926,0,0,0,144002550,896422709,0,0,100,100,100,0,6957,6957,0,0,6957,100,13.62,0.82
